Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-05-21 13:59:17,2018-05-21 14:35:51,36m - 33.578s,FAILED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-01,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Day summary report,2018-05-21 13:59:18,2018-05-21 14:01:23,2m - 5.005s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-21 13:59:18,2018-05-21 13:59:23,5.622s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-21 13:59:24,2018-05-21 13:59:24,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-21 13:59:24,2018-05-21 14:01:22,1m - 58.333s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-21 14:01:22,2018-05-21 14:01:22,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-21 14:01:22,2018-05-21 14:01:23,0.726s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-02,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Daypart summary report,2018-05-21 14:01:23,2018-05-21 14:02:57,1m - 34.818s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-21 14:01:23,2018-05-21 14:01:26,3.591s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-21 14:01:26,2018-05-21 14:01:26,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-21 14:01:26,2018-05-21 14:02:57,1m - 30.231s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-21 14:02:57,2018-05-21 14:02:57,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-21 14:02:57,2018-05-21 14:02:57,0.749s,PASSED
,,,,,,
Test Cases/TimeZoneTC/HME-Browser-Timezone-03,Chrome 66.0.3359.181,To verify that time zone is displayed in EST in Weekly summary report.,2018-05-21 14:02:57,2018-05-21 14:04:28,1m - 30.538s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-21 14:02:57,2018-05-21 14:03:01,3.602s,PASSED
