Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.139,,10-05-2018 20:59,10-05-2018 21:39,39m - 47.791s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-04,Chrome 66.0.3359.139,To verify that public admin is able to create a group,10-05-2018 20:59,10-05-2018 21:03,3m - 7.663s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 20:59,10-05-2018 21:00,4.346s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,10-05-2018 21:00,10-05-2018 21:00,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,10-05-2018 21:00,10-05-2018 21:03,3m - 2.234s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,10-05-2018 21:03,10-05-2018 21:03,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,10-05-2018 21:03,10-05-2018 21:03,0.727s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-CreateGroup-06,Chrome 66.0.3359.139,To verify that public admin is able to create a parent group,10-05-2018 21:03,10-05-2018 21:06,2m - 58.604s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 21:03,10-05-2018 21:03,3.692s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,10-05-2018 21:03,10-05-2018 21:03,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,10-05-2018 21:03,10-05-2018 21:06,2m - 54.041s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,10-05-2018 21:06,10-05-2018 21:06,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,10-05-2018 21:06,10-05-2018 21:06,0.658s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-EditGroup-05,Chrome 66.0.3359.139,To verify that public admin is able to view Manage report groups button,10-05-2018 21:06,10-05-2018 21:10,3m - 56.985s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 21:06,10-05-2018 21:06,3.539s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,10-05-2018 21:06,10-05-2018 21:06,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,10-05-2018 21:06,10-05-2018 21:10,3m - 52.520s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,10-05-2018 21:10,10-05-2018 21:10,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,10-05-2018 21:10,10-05-2018 21:10,0.693s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-ReportingGroupManagement-03,Chrome 66.0.3359.139,To verify that public admin is able to view Reporting Group Management screen,10-05-2018 21:10,10-05-2018 21:11,1m - 14.872s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 21:10,10-05-2018 21:10,3.670s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,10-05-2018 21:10,10-05-2018 21:10,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,10-05-2018 21:10,10-05-2018 21:11,1m - 10.376s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,0.648s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreDetailsPage-09,Chrome 66.0.3359.139,To verify that public admin is able to view store details page,10-05-2018 21:11,10-05-2018 21:11,29.129s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,3.595s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,24.651s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,0.672s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-01,Chrome 66.0.3359.139,To verify that public admin is able to view Manage report groups button,10-05-2018 21:11,10-05-2018 21:12,30.615s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,3.569s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:11,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.139,,10-05-2018 21:11,10-05-2018 21:12,26.226s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.139,,10-05-2018 21:12,10-05-2018 21:12,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.139,,10-05-2018 21:12,10-05-2018 21:12,0.647s,PASSED
,,,,,,
Test Cases/CreateGroupTC/HME-StoreListPage-02,Chrome 66.0.3359.139,To verify that Manage Report Groups button is shown based on user's authorization,10-05-2018 21:12,10-05-2018 21:12,41.606s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.139,,10-05-2018 21:12,10-05-2018 21:12,3.577s,PASSED
