Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-05-29 13:11:30,2018-05-29 13:42:44,31m - 14.104s,FAILED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-07,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart report by selecting seconds in format.,2018-05-29 13:11:30,2018-05-29 13:16:20,4m - 49.830s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 13:11:30,2018-05-29 13:11:35,4.441s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 13:11:35,2018-05-29 13:11:35,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 13:11:35,2018-05-29 13:16:19,4m - 44.391s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 13:16:19,2018-05-29 13:16:19,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 13:16:19,2018-05-29 13:16:20,0.700s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-08,Chrome 66.0.3359.181,To verify that public admin is able to create weekly report by selecting only one store with longest times.,2018-05-29 13:16:20,2018-05-29 13:20:01,3m - 40.979s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 13:16:20,2018-05-29 13:16:24,3.635s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 13:16:24,2018-05-29 13:16:24,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 13:16:24,2018-05-29 13:20:00,3m - 36.258s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 13:20:00,2018-05-29 13:20:00,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 13:20:00,2018-05-29 13:20:01,0.667s,PASSED
,,,,,,
Test Cases/MasqueradeTC/HME-Masquerade-07,Chrome 66.0.3359.181,To verify that public admin can view the stores based on user has access to the stores,2018-05-29 13:20:01,2018-05-29 13:21:50,1m - 48.769s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 13:20:01,2018-05-29 13:20:05,3.546s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 13:20:05,2018-05-29 13:20:05,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 13:20:05,2018-05-29 13:21:49,1m - 44.299s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 13:21:49,2018-05-29 13:21:49,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 13:21:49,2018-05-29 13:21:50,0.693s,PASSED
,,,,,,
