Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-05-29 12:19:52,2018-05-29 12:42:07,22m - 14.911s,FAILED
,,,,,,
Test Cases/MasqueradeTC/HME-Masquerade-07,Chrome 66.0.3359.181,To verify that public admin can view the stores based on user has access to the stores,2018-05-29 12:19:52,2018-05-29 12:21:45,1m - 52.277s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 12:19:52,2018-05-29 12:19:57,5.039s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 12:19:58,2018-05-29 12:19:58,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 12:19:58,2018-05-29 12:21:44,1m - 46.248s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 12:21:44,2018-05-29 12:21:44,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 12:21:44,2018-05-29 12:21:45,0.696s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-07,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart report by selecting seconds in format.,2018-05-29 12:21:45,2018-05-29 12:24:16,2m - 30.869s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 12:21:45,2018-05-29 12:21:48,3.532s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 12:21:48,2018-05-29 12:21:48,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 12:21:48,2018-05-29 12:24:15,2m - 26.387s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-05-29 12:24:15,2018-05-29 12:24:15,0.018s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 12:24:15,2018-05-29 12:24:15,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 12:24:15,2018-05-29 12:24:16,0.668s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-08,Chrome 66.0.3359.181,To verify that public admin is able to create weekly report by selecting only one store with longest times.,2018-05-29 12:24:16,2018-05-29 12:28:27,4m - 11.016s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 12:24:16,2018-05-29 12:24:19,3.563s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 12:24:19,2018-05-29 12:24:19,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 12:24:19,2018-05-29 12:28:26,4m - 6.578s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 12:28:26,2018-05-29 12:28:26,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 12:28:26,2018-05-29 12:28:27,0.678s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-11,Chrome 66.0.3359.181,To verify that public admin is able to generate day summary report for maximum of 1 month with 250 stores by using Advanced options,2018-05-29 12:28:27,2018-05-29 12:33:12,4m - 45.759s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 12:28:27,2018-05-29 12:28:30,3.574s,PASSED
