Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-07,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart report by selecting seconds in format.,2018-05-28 18:58:00,2018-05-28 19:02:32,4m - 31.826s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 18:58:00,2018-05-28 18:58:03,3.596s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 18:58:04,2018-05-28 18:58:04,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 18:58:04,2018-05-28 19:02:31,4m - 27.225s,FAILED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 19:02:31,2018-05-28 19:02:31,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 19:02:31,2018-05-28 19:02:32,0.801s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-08,Chrome 66.0.3359.181,To verify that public admin is able to create weekly report by selecting only one store with longest times.,2018-05-28 19:02:32,2018-05-28 19:04:04,1m - 32.176s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 19:02:32,2018-05-28 19:02:35,3.570s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 19:02:35,2018-05-28 19:02:35,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 19:02:35,2018-05-28 19:04:03,1m - 27.757s,FAILED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-05-28 19:04:03,2018-05-28 19:04:03,0.004s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 19:04:03,2018-05-28 19:04:03,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 19:04:03,2018-05-28 19:04:04,0.674s,PASSED
,,,,,,
Test Cases/MasqueradeTC/HME-Masquerade-07,Chrome 66.0.3359.181,To verify that public admin can view the stores based on user has access to the stores,2018-05-28 19:04:04,2018-05-28 19:05:52,1m - 47.724s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 19:04:04,2018-05-28 19:04:07,3.542s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 19:04:08,2018-05-28 19:04:08,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 19:04:08,2018-05-28 19:05:51,1m - 43.263s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 19:05:51,2018-05-28 19:05:51,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 19:05:51,2018-05-28 19:05:52,0.663s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-11,Chrome 66.0.3359.181,To verify that public admin is able to generate day summary report for maximum of 1 month with 250 stores by using Advanced options,2018-05-28 19:05:52,2018-05-28 19:07:36,1m - 44.239s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 19:05:52,2018-05-28 19:05:55,3.532s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 19:05:55,2018-05-28 19:05:55,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 19:05:55,2018-05-28 19:07:35,1m - 39.787s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-05-28 19:07:35,2018-05-28 19:07:35,0.011s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 19:07:35,2018-05-28 19:07:35,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 19:07:35,2018-05-28 19:07:36,0.669s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-12,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart summary report for maximum of 3 weeks with 250 stores by using Advanced options,2018-05-28 19:07:36,2018-05-28 19:13:04,5m - 27.838s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 19:07:36,2018-05-28 19:07:39,3.563s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 19:07:40,2018-05-28 19:07:40,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 19:07:40,2018-05-28 19:13:03,5m - 23.383s,FAILED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 19:13:03,2018-05-28 19:13:03,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 19:13:03,2018-05-28 19:13:04,0.660s,PASSED
