Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-05-28 18:41:54,2018-05-28 19:13:04,31m - 9.578s,FAILED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-13,Chrome 66.0.3359.181,To verify that public admin is able to generate week summary report for maximum of 2 months with 250 stores by using Advanced options,2018-05-28 18:41:54,2018-05-28 18:45:52,3m - 57.642s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 18:41:55,2018-05-28 18:41:59,4.472s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 18:41:59,2018-05-28 18:41:59,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 18:41:59,2018-05-28 18:45:51,3m - 52.096s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 18:45:51,2018-05-28 18:45:51,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 18:45:51,2018-05-28 18:45:52,0.730s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-14,Chrome 66.0.3359.181,To verify that public admin is able to generate day summary report for maximum of 1 month with 100 stores by using Advanced options,2018-05-28 18:45:52,2018-05-28 18:51:15,5m - 23.068s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 18:45:52,2018-05-28 18:45:56,3.808s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 18:45:56,2018-05-28 18:45:56,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 18:45:56,2018-05-28 18:51:15,5m - 18.369s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 18:51:15,2018-05-28 18:51:15,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 18:51:15,2018-05-28 18:51:15,0.657s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-15,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart summary report for maximum of 3 months with 100 stores by using Advanced options,2018-05-28 18:51:15,2018-05-28 18:58:00,6m - 44.619s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-28 18:51:15,2018-05-28 18:51:19,3.754s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-28 18:51:19,2018-05-28 18:51:19,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-28 18:51:19,2018-05-28 18:57:59,6m - 39.907s,FAILED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-28 18:57:59,2018-05-28 18:57:59,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-28 18:57:59,2018-05-28 18:58:00,0.729s,PASSED
,,,,,,
