Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-05-21 12:09:32,2018-05-21 12:10:04,32.316s,PASSED
,,,,,,
Test Cases/MasqueradeTC/HME-Masquerade-01,Chrome 66.0.3359.181,To verify that public admin is able to view masquerade feature,2018-05-21 12:09:32,2018-05-21 12:10:04,31.716s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-21 12:09:32,2018-05-21 12:09:37,5.209s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-21 12:09:38,2018-05-21 12:09:38,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-21 12:09:38,2018-05-21 12:10:03,25.165s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-21 12:10:03,2018-05-21 12:10:03,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-21 12:10:03,2018-05-21 12:10:04,1.098s,PASSED
