Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 66.0.3359.181,,2018-05-29 09:13:26,2018-05-29 09:37:33,24m - 6.807s,FAILED
,,,,,,
Test Cases/MasqueradeTC/HME-Masquerade-07,Chrome 66.0.3359.181,To verify that public admin can view the stores based on user has access to the stores,2018-05-29 09:13:26,2018-05-29 09:15:17,1m - 51.096s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:13:26,2018-05-29 09:13:30,4.300s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:13:31,2018-05-29 09:13:31,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:13:31,2018-05-29 09:15:16,1m - 45.790s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:15:16,2018-05-29 09:15:16,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:15:16,2018-05-29 09:15:17,0.737s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-07,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart report by selecting seconds in format.,2018-05-29 09:15:17,2018-05-29 09:19:36,4m - 19.205s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:15:17,2018-05-29 09:15:21,3.512s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:15:21,2018-05-29 09:15:21,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:15:21,2018-05-29 09:19:36,4m - 14.732s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:19:36,2018-05-29 09:19:36,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:19:36,2018-05-29 09:19:36,0.704s,PASSED
,,,,,,
Test Cases/GoalStatisticsTC/HME-Goal Statistics Report-08,Chrome 66.0.3359.181,To verify that public admin is able to create weekly report by selecting only one store with longest times.,2018-05-29 09:19:36,2018-05-29 09:24:15,4m - 38.248s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:19:36,2018-05-29 09:19:40,3.952s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:19:41,2018-05-29 09:19:41,0.001s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:19:41,2018-05-29 09:24:14,4m - 33.335s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:24:14,2018-05-29 09:24:14,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:24:14,2018-05-29 09:24:15,0.704s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-11,Chrome 66.0.3359.181,To verify that public admin is able to generate day summary report for maximum of 1 month with 250 stores by using Advanced options,2018-05-29 09:24:15,2018-05-29 09:28:53,4m - 37.913s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:24:15,2018-05-29 09:24:18,3.570s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:24:18,2018-05-29 09:24:18,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:24:18,2018-05-29 09:28:52,4m - 33.449s,FAILED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:28:52,2018-05-29 09:28:52,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:28:52,2018-05-29 09:28:53,0.686s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-12,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart summary report for maximum of 3 weeks with 250 stores by using Advanced options,2018-05-29 09:28:53,2018-05-29 09:35:01,6m - 8.393s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:28:53,2018-05-29 09:28:56,3.752s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:28:57,2018-05-29 09:28:57,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:28:57,2018-05-29 09:35:00,6m - 3.697s,FAILED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:35:00,2018-05-29 09:35:00,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:35:00,2018-05-29 09:35:01,0.698s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-15,Chrome 66.0.3359.181,To verify that public admin is able to generate daypart summary report for maximum of 3 months with 100 stores by using Advanced options,2018-05-29 09:35:01,2018-05-29 09:35:58,57.134s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:35:01,2018-05-29 09:35:05,3.673s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:35:05,2018-05-29 09:35:05,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:35:05,2018-05-29 09:35:57,52.508s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-05-29 09:35:57,2018-05-29 09:35:57,0.005s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:35:57,2018-05-29 09:35:57,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:35:57,2018-05-29 09:35:58,0.667s,PASSED
,,,,,,
Test Cases/SummaryReportsTC/HME-Summary Report-14,Chrome 66.0.3359.181,To verify that public admin is able to generate day summary report for maximum of 1 month with 100 stores by using Advanced options,2018-05-29 09:35:58,2018-05-29 09:37:33,1m - 34.378s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 66.0.3359.181,,2018-05-29 09:35:58,2018-05-29 09:36:02,3.710s,PASSED
Statement - TCflag = true,Chrome 66.0.3359.181,,2018-05-29 09:36:02,2018-05-29 09:36:02,0.000s,PASSED
Statement - Try,Chrome 66.0.3359.181,,2018-05-29 09:36:02,2018-05-29 09:37:32,1m - 29.751s,PASSED
Statement - Catch (Exception e),Chrome 66.0.3359.181,,2018-05-29 09:37:32,2018-05-29 09:37:32,0.012s,PASSED
Statement - assert TCflag == true,Chrome 66.0.3359.181,,2018-05-29 09:37:32,2018-05-29 09:37:32,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 66.0.3359.181,,2018-05-29 09:37:32,2018-05-29 09:37:33,0.663s,PASSED
